course_name,institution,institution_type,level,skills,description,url,duration,fees,prerequisites,entry_requirements,url_raw,url_invalid,url_duplicate
Bachelor of Business in Marketing (Single Major),Kaplan Singapore,Private University,Degree,"marketing, digital marketing, content, social media","Covers marketing concepts and practice, including digital and social media marketing.",https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-single-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-single-major,False,False
Bachelor of Business in Marketing and International Business (Double Major),Kaplan Singapore,Private University,Degree,"marketing, international business, strategy, global markets",Combines marketing with international business fundamentals.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-international-business-double-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-international-business-double-major,False,False
Bachelor of Business in Marketing and Strategic Communication (Double Major),Kaplan Singapore,Private University,Degree,"marketing, strategic communication, branding, media","Combines marketing with strategic communication, focusing on branding and messaging.",https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-strategic-communication-double-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-strategic-communication-double-major,False,False
Bachelor of Business in Marketing and Communication and Media Studies,Kaplan Singapore,Private University,Degree,"marketing, media studies, communication, content strategy",Blends marketing with communication and media studies.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-communication-and-media-studies,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-business-in-marketing-and-communication-and-media-studies,False,False
Bachelor of Science (Honours) Data Science,PSB Academy,Private University,Degree,"data science, data engineering, analytics, machine learning",University of Hertfordshire programme delivered via PSB focusing on data science foundations and applications.,https://www.psb-academy.edu.sg/university-of-hertfordshire/bachelor-of-science-honours-data-science,Nil,Nil,Nil,Nil,https://www.psb-academy.edu.sg/university-of-hertfordshire/bachelor-of-science-honours-data-science,False,False
Bachelor of Engineering Honours in Robotics and Artificial Intelligence,PSB Academy,Private University,Degree,"robotics, artificial intelligence, programming, engineering",University of Hertfordshire programme focusing on robotics systems and AI-related engineering skills.,https://www.psb-academy.edu.sg/university-of-hertfordshire/bachelor-of-engineering-honours-in-robotics-and-artificial-intelligence,Nil,Nil,Nil,Nil,https://www.psb-academy.edu.sg/university-of-hertfordshire/bachelor-of-engineering-honours-in-robotics-and-artificial-intelligence,False,False
Bachelor of Information Technology,PSB Academy,Private University,Degree,"information technology, systems, programming, networks","University of Newcastle, Australia programme covering IT fundamentals and systems thinking.",https://www.psb-academy.edu.sg/the-university-of-newcastle-australia/bachelor-of-information-technology,Nil,Nil,Nil,Nil,https://www.psb-academy.edu.sg/the-university-of-newcastle-australia/bachelor-of-information-technology,False,False
Bachelor of Science with Honours in Computing Science,PSB Academy,Private University,Degree,"programming, algorithms, software development, computing",Coventry University programme focusing on core computing and software development skills.,https://www.psb-academy.edu.sg/coventry-university/bachelor-of-science-with-honours-in-computing-science,Nil,Nil,Nil,Nil,https://www.psb-academy.edu.sg/coventry-university/bachelor-of-science-with-honours-in-computing-science,False,False
Bachelor of Science with Honours in Cyber Security,PSB Academy,Private University,Degree,"cyber security, information assurance, network security, incident response",Cyber security degree with practical learning to build skills in defending digital systems.,https://www.psb-academy.edu.sg/coventry-university/bachelor-of-science-with-honours-in-cyber-security,Nil,Nil,Nil,Nil,https://www.psb-academy.edu.sg/coventry-university/bachelor-of-science-with-honours-in-cyber-security,False,False
Bachelor of Science (Hons) Information Technology,MDIS,Private University,Degree,"information technology, software development, networks, systems",Degree programme covering broad IT foundations and applied technical skills.,https://www.mdis.edu.sg/bachelor-of-science-hons-information-technology,Nil,Nil,Nil,Nil,https://www.mdis.edu.sg/bachelor-of-science-hons-information-technology,False,False
Bachelor of Science (Hons) Cybersecurity and Networks,MDIS,Private University,Degree,"cybersecurity, networking, incident response, security",Focuses on securing networks and developing core cyber defence knowledge and skills.,https://www.mdis.edu.sg/bachelor-of-science-hons-cybersecurity-and-networks,Nil,Nil,Nil,Nil,https://www.mdis.edu.sg/bachelor-of-science-hons-cybersecurity-and-networks,False,False
Bachelor of Information Technology,James Cook University Singapore,Private University,Degree,"programming, web development, databases, cloud computing","IT programme covering programming, web development, databases, networks, and cloud-related topics.",https://www.jcu.edu.sg/courses-and-study/courses/course/bachelor-of-information-technology,Nil,Nil,Nil,Nil,https://www.jcu.edu.sg/courses-and-study/courses/course/bachelor-of-information-technology,False,False
Bachelor of Cybersecurity,James Cook University Singapore,Private University,Degree,"cybersecurity, information security, software, networks",Cybersecurity programme combining IT foundations with stronger emphasis on security concepts and practice.,https://www.jcu.edu.sg/courses-and-study/courses/course/bachelor-of-cybersecurity,Nil,Nil,Nil,Nil,https://www.jcu.edu.sg/courses-and-study/courses/course/bachelor-of-cybersecurity,False,False
Bachelor of Information Technology,Curtin Singapore,Private University,Degree,"programming, networking, linux, security",IT degree covering programming and modern network/security fundamentals with practical skills.,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-information-technology/,Nil,Nil,Nil,Nil,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-information-technology/,False,False
Bachelor of Computing (Cyber Security),Curtin Singapore,Private University,Degree,"cyber security, computing, programming, systems",Computing degree specialising in cyber security after covering core computing foundations.,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-computing-cyber-security/,Nil,Nil,Nil,Nil,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-computing-cyber-security/,False,False
Bachelor of Commerce,Curtin Singapore,Private University,Degree,"business, accounting, finance, marketing, management",Business degree covering a broad commerce foundation with options for specialisations.,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-commerce/,Nil,Nil,Nil,Nil,https://www.curtin.edu.sg/courses/undergraduate/bachelor-of-commerce/,False,False
Bachelor of Science in Computer Science and Game Design,DigiPen Institute of Technology Singapore,Private University,Degree,"computer science, game design, software development, programming",CS degree combining software development foundations with game design and interactive systems focus.,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-and-game-design,Nil,Nil,Nil,Nil,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-and-game-design,False,False
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology Singapore,Private University,Degree,"computer science, real-time simulation, graphics, software engineering",CS degree focused on building complex real-time interactive software and simulations.,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-in-real-time-interactive-simulation,Nil,Nil,Nil,Nil,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-in-real-time-interactive-simulation,False,False
Bachelor of Science in Computer Science in Interactive Media and Game Development,DigiPen Institute of Technology Singapore,Private University,Degree,"computer science, interactive media, game development, programming",CS programme focused on interactive media systems and game-development oriented software skills.,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-in-interactive-media-and-game-development,Nil,Nil,Nil,Nil,https://www.digipen.edu.sg/academics/computer-science-degrees/bs-in-computer-science-in-interactive-media-and-game-development,False,False
